[INFO] Feature Importances:
Feature 0: 0.0049
Feature 1: 0.0037
Feature 2: 0.0063
Feature 3: 0.0025
Feature 4: 0.0027
Feature 5: 0.0069
Feature 6: 0.0029
Feature 7: 0.0046
Feature 8: 0.0083
Feature 9: 0.0311
Feature 10: 0.0281
Feature 11: 0.0065
Feature 12: 0.0038
Feature 13: 0.0058
Feature 14: 0.0059
Feature 15: 0.2403
Feature 16: 0.0047
Feature 17: 0.0988
Feature 18: 0.0039
Feature 19: 0.0104
Feature 20: 0.0065
Feature 21: 0.0174
Feature 22: 0.0314
Feature 23: 0.0021
Feature 24: 0.0021
Feature 25: 0.0014
Feature 26: 0.0019
Feature 27: 0.0028
Feature 28: 0.0000
Feature 29: 0.0019
Feature 30: 0.0395
Feature 31: 0.0066
Feature 32: 0.0019
Feature 33: 0.0016
Feature 34: 0.0019
Feature 35: 0.0179
Feature 36: 0.0731
Feature 37: 0.0025
Feature 38: 0.0019
Feature 39: 0.0014
Feature 40: 0.0015
Feature 41: 0.0029
Feature 42: 0.0032
Feature 43: 0.0027
Feature 44: 0.0026
Feature 45: 0.0021
Feature 46: 0.0037
Feature 47: 0.0029
Feature 48: 0.0018
Feature 49: 0.0087
Feature 50: 0.0053
Feature 51: 0.0027
Feature 52: 0.0073
Feature 53: 0.0032
Feature 54: 0.0021
Feature 55: 0.0063
Feature 56: 0.0061
Feature 57: 0.0155
Feature 58: 0.0616
Feature 59: 0.0091
Feature 60: 0.0020
Feature 61: 0.0103
Feature 62: 0.0033
Feature 63: 0.0058
Feature 64: 0.0065
Feature 65: 0.0019
Feature 66: 0.0018
Feature 67: 0.0116
Feature 68: 0.0016
Feature 69: 0.0017
Feature 70: 0.0027
Feature 71: 0.0026
Feature 72: 0.0150
Feature 73: 0.0045
Feature 74: 0.0000
Feature 75: 0.0020
Feature 76: 0.0021
Feature 77: 0.0023
Feature 78: 0.0020
Feature 79: 0.0314
Feature 80: 0.0395
